date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,stringency_index,population,female_smokers,male_smokers
17MAR2020,673,107,2,2,6842,1270,0.147,38.89,32365998,1,42.4
18MAR2020,790,117,2,0,8873,1270,0.15,73.15,32365998,1,42.4
19MAR2020,900,110,2,0,8873,1270,0.145,73.15,32365998,1,42.4
20MAR2020,1030,130,3,1,10143,1270,0.143,73.15,32365998,1,42.4
21MAR2020,1183,153,4,1,11275,1835,0.163,73.15,32365998,1,42.4
22MAR2020,1306,123,10,6,11275,1835,0.153,73.15,32365998,1,42.4
23MAR2020,1518,212,14,4,13110,1835,0.138,73.15,32365998,1,42.4
24MAR2020,1624,106,16,2,13594,484,0.141,73.15,32365998,1,42.4
25MAR2020,1796,172,20,4,15820,2226,0.126,73.15,32365998,1,42.4
26MAR2020,2031,235,23,3,16983,1163,0.139,73.15,32365998,1,42.4
27MAR2020,2161,130,26,3,24168,7185,0.081,73.15,32365998,1,42.4
28MAR2020,2320,159,27,1,29461,5293,0.061,73.15,32365998,1,42.4
29MAR2020,2470,150,35,8,31206,1058,0.061,73.15,32365998,1,42.4
30MAR2020,2626,156,37,2,31206,1058,0.061,73.15,32365998,1,42.4
31MAR2020,2766,140,43,6,32264,1058,0.061,73.15,32365998,1,42.4
01APR2020,2908,142,45,2,35802,3538,0.056,73.15,32365998,1,42.4
02APR2020,3116,208,50,5,37599,1797,0.053,73.15,32365998,1,42.4
03APR2020,3333,217,53,3,39458,1859,0.077,73.15,32365998,1,42.4
04APR2020,3483,150,57,4,40923,1465,0.101,73.15,32365998,1,42.4
05APR2020,3662,179,61,4,43539,2616,0.09,73.15,32365998,1,42.4
06APR2020,3793,131,62,1,47457,3918,0.072,73.15,32365998,1,42.4
07APR2020,3963,170,63,1,52485,5028,0.059,73.15,32365998,1,42.4
08APR2020,4119,156,65,2,58240,5755,0.054,73.15,32365998,1,42.4
09APR2020,4228,109,67,2,63367,5127,0.043,73.15,32365998,1,42.4
10APR2020,4346,118,70,3,67951,4584,0.036,73.15,32365998,1,42.4
11APR2020,4530,184,73,3,71897,3946,0.034,73.15,32365998,1,42.4
12APR2020,4683,153,76,3,77491,5594,0.03,73.15,32365998,1,42.4
13APR2020,4817,134,77,1,81730,4239,0.03,73.15,32365998,1,42.4
14APR2020,4987,170,82,5,84791,3061,0.032,73.15,32365998,1,42.4
15APR2020,5072,85,83,1,87183,2392,0.033,73.15,32365998,1,42.4
16APR2020,5182,110,84,1,96695,4099,0.033,73.15,32365998,1,42.4
17APR2020,5251,69,86,2,96695,4099,0.031,73.15,32365998,1,42.4
18APR2020,5305,54,88,2,100794,4099,0.027,73.15,32365998,1,42.4
19APR2020,5389,84,89,1,103892,3098,0.027,73.15,32365998,1,42.4
20APR2020,5425,36,89,0,108216,4324,0.023,73.15,32365998,1,42.4
21APR2020,5482,57,92,3,113755,3651,0.019,73.15,32365998,1,42.4
22APR2020,5532,50,93,1,113755,3651,0.017,73.15,32365998,1,42.4
23APR2020,5603,71,95,2,117406,3651,0.017,73.15,32365998,1,42.4
24APR2020,5691,88,96,1,121722,4316,0.018,73.15,32365998,1,42.4
25APR2020,5742,51,98,2,126970,5248,0.017,73.15,32365998,1,42.4
26APR2020,5780,38,98,0,131491,4521,0.014,73.15,32365998,1,42.4
27APR2020,5820,40,99,1,138898,7407,0.013,73.15,32365998,1,42.4
28APR2020,5851,31,100,1,146799,7901,0.01,73.15,32365998,1,42.4
29APR2020,5945,94,100,0,154203,7404,0.01,73.15,32365998,1,42.4
30APR2020,6002,57,102,2,168784,15429,0.009,73.15,32365998,1,42.4
01MAY2020,6071,69,103,1,168784,15429,0.008,73.15,32365998,1,42.4
02MAY2020,6176,105,103,0,184213,15429,0.008,73.15,32365998,1,42.4
03MAY2020,6298,122,105,2,195833,11620,0.008,73.15,32365998,1,42.4
04MAY2020,6353,55,105,0,205598,9765,0.008,69.44,32365998,1,42.4
05MAY2020,6383,30,106,1,213220,7622,0.008,69.44,32365998,1,42.4
06MAY2020,6428,45,107,1,222150,8930,0.007,69.44,32365998,1,42.4
07MAY2020,6467,39,107,0,231019,8869,0.007,69.44,32365998,1,42.4
08MAY2020,6535,68,107,0,239628,8609,0.007,69.44,32365998,1,42.4
09MAY2020,6589,54,108,1,256937,9111,0.006,69.44,32365998,1,42.4
10MAY2020,6656,67,108,0,256937,9111,0.006,69.44,32365998,1,42.4
11MAY2020,6726,70,109,1,266048,9111,0.006,69.44,32365998,1,42.4
12MAY2020,6742,16,109,0,297342,126964,0.006,69.44,32365998,1,42.4
13MAY2020,6779,37,111,2,297342,126964,0.005,69.44,32365998,1,42.4
14MAY2020,6819,40,112,1,297342,126964,0.005,69.44,32365998,1,42.4
15MAY2020,6855,36,112,0,424306,126964,0.002,69.44,32365998,1,42.4
16MAY2020,6872,17,113,1,434136,9830,0.002,69.44,32365998,1,42.4
17MAY2020,6894,22,113,0,443263,9127,0.001,69.44,32365998,1,42.4
18MAY2020,6941,47,113,0,462257,9061,0.001,69.44,32365998,1,42.4
19MAY2020,6978,37,114,1,462257,9061,0.001,69.44,32365998,1,42.4
