date,state,new_deaths,total_deaths,new_cases,total_cases
2020-03-17,SELANGOR,0,0,17,161
2020-03-17,SABAH,0,0,25,82
2020-03-17,WP KUALA LUMPUR,0,0,7,113
2020-03-18,SELANGOR,0,0,31,192
2020-03-18,SABAH,0,0,21,103
2020-03-18,WP KUALA LUMPUR,0,0,6,119
2020-03-19,SELANGOR,0,0,31,223
2020-03-19,SABAH,0,0,9,112
2020-03-19,WP KUALA LUMPUR,0,0,10,129
2020-03-20,SELANGOR,0,0,40,263
2020-03-20,SABAH,0,0,7,119
2020-03-20,WP KUALA LUMPUR,0,0,16,145
2020-03-21,SELANGOR,0,0,29,292
2020-03-21,SABAH,1,1,17,136
2020-03-21,WP KUALA LUMPUR,0,0,21,166
2020-03-22,SELANGOR,0,0,17,309
2020-03-22,SABAH,0,1,22,158
2020-03-22,WP KUALA LUMPUR,1,1,17,183
2020-03-23,SELANGOR,0,0,45,354
2020-03-23,SABAH,0,1,11,169
2020-03-23,WP KUALA LUMPUR,1,2,59,242
2020-03-24,SELANGOR,0,0,27,381
2020-03-24,SABAH,0,1,1,170
2020-03-24,WP KUALA LUMPUR,0,2,15,257
2020-03-25,SELANGOR,0,0,54,435
2020-03-25,SABAH,0,1,0,170
2020-03-25,WP KUALA LUMPUR,1,3,13,270
2020-03-26,SELANGOR,0,0,75,510
2020-03-26,SABAH,0,1,2,172
2020-03-26,WP KUALA LUMPUR,0,3,51,321
2020-03-27,SELANGOR,1,1,36,546
2020-03-27,SABAH,0,1,10,182
2020-03-27,WP KUALA LUMPUR,1,4,16,323
2020-03-28,SELANGOR,0,1,33,579
2020-03-28,SABAH,0,1,15,197
2020-03-28,WP KUALA LUMPUR,0,4,7,344
2020-03-29,SELANGOR,0,1,33,612
2020-03-29,SABAH,0,1,0,197
2020-03-29,WP KUALA LUMPUR,3,7,28,372
2020-03-30,SELANGOR,1,2,60,672
2020-03-30,SABAH,0,1,4,201
2020-03-30,WP KUALA LUMPUR,0,7,24,396
2020-03-31,SELANGOR,1,3,32,704
2020-03-31,SABAH,0,1,5,206
2020-03-31,WP KUALA LUMPUR,2,9,34,430
2020-04-01,SELANGOR,0,3,22,726
2020-04-01,SABAH,0,1,3,209
2020-04-01,WP KUALA LUMPUR,2,11,25,455
2020-04-02,SELANGOR,0,3,74,800
2020-04-02,SABAH,0,1,1,210
2020-04-02,WP KUALA LUMPUR,0,11,34,488
2020-04-03,SELANGOR,1,4,63,863
2020-04-03,SABAH,0,1,5,215
2020-04-03,WP KUALA LUMPUR,0,11,55,543
2020-04-04,SELANGOR,0,4,27,890
2020-04-04,SABAH,0,1,10,225
2020-04-04,WP KUALA LUMPUR,1,12,52,595
2020-04-05,SELANGOR,0,4,53,943
2020-04-05,SABAH,1,2,13,238
